object_0	object_1	answer	labels
steel	concrete	Yet the solid steel/concrete structure remain.	0
PHP	JavaScript	It'd be a lot easier (for me) in PHP but I have to use JavaScript this time.	2
PHP	Java	If they are good, they might find it easier to make an impact on the PHP community than, say, in the Java or .NET community.	2
Nikon	Leica	Phase One, and its workshops, are for those who have outgrown Nikon , Canon and Leica and demand something better.	0
Google	Amazon	I found it a lot easier to set up PayPal and Google rather than Amazon Payments.	2
NetBeans	Eclipse	NetBeans and Eclipse provide that today.	0
Java	Lisp	The abstraction level of both C# and Java is mediocre; it's much better than C, somewhat weaker (!) than C++, and not nearly as good as languages that support both object-oriented and functional programming (such as Lisp and Ocaml).	3
Perl	JavaScript	IMHO only better thing for Perl is ActiveStates Komodo which I would probably use if it had better support for XHTML, CSS and JavaScript (no fancy WYSIWYG - just code completion).	0
Python	Ruby	"But merely posting ""Python is way more popular"" isn't constructive toward making Ruby better."	2
stone	timber	And fo much Solid stone or timber is in that Piece.	0
Perl	JavaScript	Highly experienced in Python and Pearl RegEx, Python, Perl, and XML processing (SAX/DOM) ,Solid understanding of SQL and relational database design Python, MongoDB JavaScript and Tornado to provide a RESTful JSON API.	0
Ibuprofen	Advil	These headaches do not get better with migraine medication, and normally don't get better with Ibuprofen/Advil, etc.	0
milk	soda	Drinking fluids - milk-based fluids may be easier to tolerate than acidic liquids, such as juice or soda.	2
michigan	missouri	When you need construction equipment parts in upper michigan, Wisconsin, missouri or southern Illinois, there's no better partner than Fabick CAT.	0
Bluetooth	USB	Actually, Bluetooth quality is just as good, if not better, than the audio through USB.	2
missouri	virginia	Jesse James returned to missouri, while Frank went to safer territory in virginia.	0
Windows 8	Windows XP	Windows 8 is a Metro shell on an otherwise Windows XP frame (Vista and 7 only candy-coated it, poorly I might add).	0
potato	bread	Even better, the excellent sweet potato spoon bread was just right for dipping.	0
Hewlett-Packard	Intel	U.S.-based IBM, Hewlett-Packard and Intel, in particular, dominate HPC hardware system building.	0
Renault	Ferrari	The Renault and Ferrari V6's?	0
juice	milk	Take snacks, and we take a cooler with us with water, and juice, and milk.	0
virginia	georgia	Certain guys, you'd see them flying all around the ring maybe in virginia or georgia, but you'd get to Kansas City, and it was a slower pace.	0
Renault	Ferrari	"These are Renault, Ferrari, Mercedes, and Pure."""	0
JavaScript	PHP	Well, JavaScript is by itself much easier and more consistent than PHP.	2
Windows 8	Windows 7	It's actually easier to toggle between apps using Windows 8 than Windows 7.	2
harvard	mit	harvard/mit 2002	0
wii	ps2	Its slightly better just as wii was slightly better than ps2/GC/Xbox .	2
laptop	mobile	With this in mind, Cooler Master's Choiix line of products caters to the travelling laptop and mobile device user.	0
Nissan	Ford	U.S. Camry sales were 408,484 in 2013, topping newer sedans, including Honda Motor Co.'s Accord, Nissan Motor Co.'s Altima and Ford Motor Co.'s Fusion, with faster-growing sales.	0
iOS	Apple TV	From the specs on Apple site, it will run only on Safari 4 running Mac OS X 10.6 or better, Safari on iOS 4.2 or better and 2 nd gen Apple TV or later running 5.2.	0
sausage	sandwich	My first attempt at making a sausage sandwich at home was mediocre at best when compared to my drive through experience.	0
Renault	Nissan	Project Better Place is partnering with Renault for the electric vehicles, Nissan Motor for its lithium-ion battery pack, and the Israeli and Danish governments, which are offering tax credits on zero-emissions vehicles.	0
Intel	Hewlett-Packard	The committee found similar strategies at Intel, Hewlett-Packard, Microsoft and several pharmaceutical giants.	0
Kingston	Google	"Now, long after the beer has been mopped up and all hangovers a distant memory, one can view the maps of Kingston on Google or Yahoo and see how they mark the main road as ""The St."""	0
Gigabyte	Asus	Gigabyte, Asus, MSI and others have had boards listed.	0
Intel	Hewlett-Packard	Formerly unshakeable companies Intel, Cisco, Applied Materials and Hewlett-Packard mouthed the new L-word.	0
georgia	oregon	Come On Man georgia is not better than oregon, no way and they almost beat them.	3
mouse	rat	The micro-polymer technology provides superior sensitivity and minimum cross-reactivity to endogenous mouse and rat IgG.	0
Windows 8	Windows 7	Early adopters of Windows 8 will find the new operating system to be like Windows 7, but optimized and faster.	2
basketball	softball	It is cooler now to coach women's basketball or women's lacrosse or women's soccer or women's softball than it has ever been.	0
Ethernet	Bluetooth	"But local-area wireless developers seem to be doing their best to catch up: Not even counting the original, slower 802.11 (no ""b"") wireless Ethernet spec, there are already two major alternatives to 802.11b: HomeRF, which is just getting off the ground in the consumer market, and Bluetooth , an even newer technology that will begin appearing in cell phones, notebooks and Palm products, among others, over the next year."	0
football	basketball	Probably a horrid football team and a solid basketball school.	0
pennsylvania	michigan	Florida, pennsylvania, michigan, all are solid for the president.	0
Chrysler	Toyota	Ford Motor Co ( F.N ), Honda Motor Co ( 7267.T ) and Nissan Motor Co ( 7201.T ) posted better-than-expected sales, while Chrysler Group LLC, Toyota Motor Corp ( 7203.T ) and Hyundai Motor Co ( 005380.KS ) also reported strong increases that industry executives and investors said should continue through the end of the year.	0
lacrosse	hockey	, aims to promote the National lacrosse League (NLL) as a better alternative to the National hockey League (NHL).	2
cement	concrete	Portland cement), but excludes solid concrete.	0
OpenCL	CUDA	GTX480+) so this approach is a real loser there with a decent size depth buffer, which is what got me looking at an OpenCL/CUDA solution (probably their goal when they crippled readback; grrr...).	0
wood	cement	wood, cement, stone, bricks, nails.	0
Python	Java	Python is one of the faster scripting languages I've seen around, but last time I checked it was still 10x slower than Java and 20x slower than C for most stuff.	3
Google	IBM	For HP, which is playing catch-up to faster-moving rivals like Amazon, Google and even IBM, going big on cloud services is vital to a fully developed IT services portfolio.	0
Swift	Objective-C	For more information on the key features of Swift and Objective-C, see Development Languages	0
Apple	Intel	is the Apple switch to Intel-based hardware going to better my chances for a MacOS CAD workstation	0
Perl	Ruby	Compared to Perl - Ruby is much much nicer.	3
Java	Ruby	Java, C#, Ruby).	0
Java	Python	So your argument is both Java and Python suck without a decent editor.	0
Apple	Amazon	Google Music Launch Unveils a Solid Competitor to Apple, Amazon, Spotify	0
pistol	knife	- QUICK MOVEMENT The speed of your player is based on the weight of your gun, so when the round starts, switching to the pistol or even better, your knife, will result in much faster movement.	3
Intel	Sony	"350W PSU, Be Quiet BN134 Asus P8H61-M PRO Intel Core i3 2120 CPU Scythe Shuriken BIG 120mm CPU cooler Sony AD-7690H Slot DVD±R 4GB (2x2GB) Corsair DDR3 XMS3 Ram 64GB Crucial RealSSD M4, 2.5"" SSD"	0
cement	wood	cement and wood.	0
Audi	Lexus	Performance The Audi A6 has less horsepower than the Lexus IS 350, so it will probably be somewhat slower.	3
PHP	Perl	Clean and convenient interface, quick startup, true flexibility and powerful features allow you to create and edit HTML, XHTML, CSS, JavaScript, VBScript, PHP, ASP, ASP.Net, SSI, Perl, Ruby, WML code faster and easier than ever,...	0
Java	PHP	Excellence skills of server side Java or PHP programming( With solid experience in both is a big plus )	0
michigan	california	michigan is no better than california.	3
Leica	Nikon	Unlike the Leica 19mm, the Olympus has a very sweet C Zone - but it's no better than the Contax N's which - again - we see thoroughly trounced by the Nikon above.	3
AMD	Samsung	AMD Phenom II 980 BE @ 3.8 GHz (stock clock, I need to buy a new cooler and new thermal paste to overclock without it getting hot) 4 GB Corsair Vengeance @ 1600 MHz (stock clock) + 1 GB OCZ Viper Gold RAM @ 1600 MHz (stock clock is 1333 MHz) 2 TB Samsung SpinPoint F4 @ 5,400 RPM (bought the eco-friendly one by accident, but it's ok, because AFAIK the F3 doesn't come in 2 TB) 1 GB Gigabyte GTX 560 Ti	0
Bluetooth	USB	I own a decent priced Onkyo A/V Stereo Receiver that's compatible with the company's UBT-1 Bluetooth USB adapter  ( $50 on Amazon ).	0
PostgreSQL	Oracle	Uses a SQL database back end instead of an inverted index; supports MySQL, PostgreSQL, miniSQL, Solid, InterBase, Oracle, Sybase and MS SQL using CT-Lib, EasySoft ODBC, iODBC, and unixODBC.	0
softball	baseball	@9:08 At no time has the softball stadium been superior to baseball.	3
fishing	swimming	Activities: fishing and swimming	0
Nikon	Leica	Try shooting a wedding on a manual focus Hasselblad and a Nikon F3 or worse still a Leica ;)	2
Python	Bash	You can also do ith with Python, but I think this is quite straightforward and easier to understand #!/bin/Bash # This script reprojects and subsets a bunch of HDF files stored in # a given dir (WORKDIR).	0
Nissan	Toyota	thats why cars like the Nissan livina, perodua myvi,Toyota vios, etc are selling so well, even if there are superior alternatives.	0
Perl	Ruby	My friends tell me (but I do not have first hand experience) that Perl and Ruby are just as slow or even slower.	0
paint	pen	And definitely don't tell me your CDs sound better when you paint the circumferential edge green with a felt pen.	0
Java	Python	You might be better off looking at something like Java or Python instead.	0
Oracle	PostgreSQL	One of the goals of the company is aimed specifically at making life easier for Oracle people on PostgreSQL.	0
juice	milk	The beetroot juice or milk sugar (diabetes worse.	0
CUDA	OpenCL	The most important difference is that you did your tests using an upclocked nVidia GTX570 GPU that is great for CUDA but lousy for OpenCL.	2
Bluetooth	USB	See, this 60-quart cooler doesn't just keep your liquids frosty, it also doubles as: a blender, a set of Bluetooth speakers, a USB charger, and more.	0
metal	aluminum	metal solid aluminum shell.	0
sandwich	pizza	"It's easier than making a whole new sandwich or a whole new pizza."""	0
Amazon	Microsoft	Costs are dropping, security is good, and for most museums there is not a better way to expand user services than letting Google, Amazon, or Microsoft provide infinite space and speed for on-line content delivery.	0
Python	Perl	Or better yet, there is already a Python or Perl port to the platform.	0
JavaScript	Python	Really, the only advantage that HTML/CSS/JavaScript has over Python is that every PC has an interpreter present out of the box, but given that if you're doing JS there's few tools better than Firebug, you've got installation to do anyway and you might as well just suck it up.	2
Perl	Python	You would be better off using a full programming scripting language like Perl or Python.	0
Ruby	JavaScript	Due to solid and stable growth, we are seeking a Java / Ruby/ JavaScript Software Engineer to join our client as a permanent employee in the Burlington area of Boston , Massachusetts.	0
Ruby	Python	Since then, dozens of superior easy-to-use languages have been made such as Ruby and Python.	0
juice	cider	Mix the expressed juice with cider for internal use if preferred, it probably tastes better.	0
nixon	reagan	He makes a helluva lot better idol for Republicans than nixon, reagan, or bush!	0
Honda	Nissan	Witness Honda and Nissan.	0
Google	Amazon	In addition, Google is in a better position than Amazon to reach the high-quality/low price sweet spot.	2
PostgreSQL	Oracle	The new update also brings support for many native data sources including: Microsoft SQL Server, PostgreSQL, Oracle, MySQL, SQLite, ODBC, Filemaker and OpenBase; builtin LDAP Integration; new prepared statements that allow faster DB operations; shell support; an enhanced Site Admin; and several email enhancements (direct sending to remote SMTP servers, SSL support, improved encoding speed, and better support for attachments).	0
Dell	Intel	"The somewhat larger Dell XPS 12 and Lenovo ThinkPad Yoga would be two solid convertibles that come to mind with Intel Core CPUs and 12.5"" designs."	0
foam	wood	Material : foam, vinyl, wood.	0
ps3	psp	Downloadable Games (also available from ps3 storefront) METAL GEAR SOLID psp Bundle ($29.99)	0
tea	juice	Wish list: decent tea, water and juice as well as the cans of pop.	0
champagne	beer	You can also opt for the $15 bottomless champagne, Mimosas or a decent selection of craft beer to suffice as your liquid brunch.	0
Ruby	Perl	I haven't personally used Ruby, but between python and Perl, I think python is a little easier to extend prototypes and scripts into long-term-use programs.	0
timber	lumber	"timber Processing's June issue discusses how the third generation H.W. Culp lumber Co. sees better than projected results with the ""horizontal shape sawing"" system."	0
tennis	volleyball	tennis! volleyball! Baseball!	0
Perl	JavaScript	If you can comfortably program something semi-decent in C/C++, Perl and JavaScript, then you've got the skills to learn any modern programming language within two days.	0
Intel	Dell	But the dual-core Intel Core i3-2100 processor in the Dell Inspiron i620-228NBK managed much faster times: 1:42 in Handbrake, 3:55 in CS5.	0
Direct3D	OpenGL	Output Method - Direct3D or OpenGL Sound Driver - XAudio2 (make sure you install it from the XAudio2 website first, this works better on Windows Vista/7 than DirectSound does) Input Rate - 31850Hz to reduce any popping sounds you may hear Buffer Length - 128ms to 160ms Playback Rate - 32KHz	0
Apple	Amazon	The Google, Apple and Amazon ecosystems are creating walls as they create better integrated services across their lines.	0
Apple	Dell	Since then I've gone through the Apple Cinema, then on to the bigger and better Dell :)	3
PHP	Perl	I know, you might expect me to be a PHP-GTK fan, but Perl-GTK just seems nicer.	3
google	itunes	"Ahh, once I changed my google search for remote itunes control to include the string ""Apache"" things are going better."	0
Samsung	Motorola	LG beats Samsung & Motorola	0
Perl	Python	Maybe Perl is better than Python, but anyway, that is not the point.	2
Google	Apple	Last November, Patrick Gibson argued that Google was getting better at design faster than Apple was getting better at services.	2
wii	ps3	what is better wii\ or ps3 and why	0
juice	coffee	Plenty of hot water and decent breakfast of pastrys, apples/oranges, juice/tea/coffee/water.	0
IBM	Microsoft	With this latest version of DB2, IBM is trying to make the database easier to use, deploy, and administer in order to better compete off of the mainframe with Oracle and Microsoft.	0
Samsung	Nokia	Plasticky in the way a Samsung Galaxy S II feels solid, although far from finely machined like a Nokia N8 .	3
Ford	Honda	In CR's Annual Car Reliability Survey, the Ford Fusion and Mercury Milan sedans scored slightly better than the Honda Accord V6 and Toyota Camry V6.	2
Buick	Cadillac	GM also is recalling 12,000 1994 Buick Roadmaster, Chevrolet Caprice and Cadillac Fleetwood cars to repair an oil-cooler line that might wear through and spill oil on the engine, causing a fire.	0
Motorola	Samsung	Headphones, Bluetooth (Motorola, Nokia, Jabra, Samsung...)	0
Samsung	Nokia	Then I had a Samsung, which was pretty decent, but not as good as the Nokia.	3
minivan	suv	minivan or suv	0
Java	Python	Java, also bytecode interpreted but static rather than dynamic [9] , is loads faster than Python.	2
OpenGL	Direct3D	But why is OpenGL better than Direct3D?	2
Sony	Apple	I totally agree with your conclusion that Sony products are better off tham Apple products.	2
Mercedes-Benz	Audi	Its flagship brands -- Mercedes-Benz, BMW, Audi, and Porsche -- are all enjoying record years and forecasting even better results for 2013.	0
JavaScript	Ruby	Design and develop minor improvements to core Zipcar systems, third party interfaces, web-based systems and internal tools Qualifications: 2-3 years web development / sustaining engineeing experience Solid foundation in web software development, including HTML, JavaScript, CSS Experience with relational database queries and SQL programming; Oracle PL/SQL is a plus Command of your favorite scripting and server side languages; for example: Ruby, PHP, Perl, Python Familiar with the Linux operating system and utilities	0
wii	gamecube	wii, and even more so, gamecube (apart from the purple colour) were much better looking.	0
IBM	Microsoft	World-leading companies like China Mobile, IBM, Microsoft and Nokia already rely on Symbio for faster, innovative, and highly cost-effective IT outsourcing.	0
AMD	Samsung	cpu: AMD Phenom II X2 555 - $90 mobo: ASUS M4A87TD/USB - $100 ram: G.SKILL Ripjaws Series 4GB (2 x 2GB) - $50 gpu: GTS450 $119 / 5770 $119 / GTX460 $150 / GTX550 $150 / 6850 $170 hdd: Samsung spinpoint F3 1tb - $65 psu: SeaSonic S12II 430B 430W - 70$ case: COOLER MASTER Elite 430 - $50 total: $544 - $595	0
BMW	Honda	"No one is saying ""BMW makes a better one,"" or ""Honda makes a better one,"" we're JUST SAYING THAT THE VOLT SUCKS, PERIOD!!!"	0
Chevrolet	Ford	Small-block supercharged Chevrolet V-8, external headers, custom tubular dropped front axle with semi-elliptic transverse leaf spring, solid Ford rear axle, American 12-spoke front and five-spoke rear wheels, no front brakes, rear drums.	0
georgia	oregon	but I think that georgia, WVU, oregon, LSU, and Alabama are all easily better than them.	0
youtube	facebook	Channels such as youtube, facebook and others make it easier to search and consume this content.	0
ipod	iphone	New ipod Touch faster than iphone 3G	2
holiday	birthday	In short, my assessment is the Mr. Beer kit isn't a bad way to get started, and definitely a decent holiday or birthday gift... but there are better ways to go if you want good tasting hard apple cider.	0
Honda	Ford	Honda quality has gone downhill in recent years, Hyundai or Ford is a much better value if shopping for a new 2012.	3
softball	basketball	Stacy Scofield ('99): She was a three-time YAIAA player of the year as a softball pitcher and was also a solid basketball player.	0
PostgreSQL	MySQL	In general PostgreSQL is faster at complex queries with a lot of joins and such, while MySQL is faster at simple queries such as primary key look up.	0
ds	ps2	The PSP does support a few thing that ds can't, They are DLC, better sound, ps2-like Graphics.	0
Microsoft	Amazon	If Microsoft wants to get into hardware, they would do better making an Android tablet and adding value, as others like Samsung and Amazon have done.	3
birthday	wedding	There is noting worse than having to guess what to buy someone for their birthday, wedding, kitchen tea, House warming, baby shower, ect Now there's a solution!	0
Python	Perl	Disadvantages: Not common outside science (e.g. for jobs), lacks features, slower development than Python/Perl.	0
Dell	Microsoft	The Dell PowerEdge R720 server with Samsung SM825 200GB solid-state drives (SSDs), in conjunction with the enhanced VDI hosting platform in Microsoft Windows Server 2012, provides a viable solution for your VDI needs.	0
georgia	california	Collection contains correspondence, clippings, speech files, and scrapbooks relating to the legal career of georgia Phillips Morgan Bullock, attorney and first woman judge of the california Superior Court.	0
Nikon	Sigma	Canon, Nikon and Sony lenses longer than 400mm cost more than $8,000 (although Sigma and Tamron offer slower tele-zooms that go out to 500mm for around $1,000).	0
Perl	Java	I'm not going to get into the argument of whether Perl is better than Java or vice versa	0
Apple	Intel	Apple refreshed the iMac lineup in 2013 with faster Intel Haswell processors, better graphics and 802.11ac	0
PHP	Perl	PHP is probably better for quick/simple/numerous project, but Perl is better for monolithic problems.	0
mobile	wallet	Online shopping and shopping via mobile devices will become quicker and easier for users of a digital wallet.	0
Lexus	Audi	You may think that a few of your friends are wanting to downgrade and justify it by getting a hybrid, but once they ride in an inferior car and then realize that BMW, Lexus, MB, and Audi all have luxo cruisers that are hybrids, they may just turn around and go with what is familiar and confidence inspiring.	0
Nvidia	MSI	"- Intel I5-650 quad core processor 3.2 ghz - EVGA Nvidia GTX 460 1gb Gddr5 - 4GB DDR3 1066 Ram - Silverstone SUGO Mini Case - Seagate Momentus XT 500GB 7200 RPM 2.5"" Solid State Hybrid Drive - MSI H55m-E33 Motherboard"	0
harvard	dartmouth	harvard College accepted just 6.9 percent, its lowest rate ever, and the numbers were not much better elsewhere: 7.2 percent at Stanford, 8.2 percent at Princeton, 11.5 percent at dartmouth, and 23 percent at Northwestern-all record lows.	0
Windows XP	Windows Vista	Microsoft security essentials is one of the decent antivirus and antimalware application provided by Microsoft for free to Windows XP, Windows Vista and windows 7 users.	0
california	pennsylvania	It will still be a lot harder and pricier to get a loan in states like california and Florida than Kansas or pennsylvania.	0
PHP	Python	PHP is optimized for web programming, so it might be faster than Python.	2
Microsoft	Google	Why Microsoft and Oracle Are Safer Long-Term Bets Than Google and SAP [ View article ]	2
forest	timber	To make things worse, the Punan tribe's 22,000 hectares of traditional forest are now threatened by timber concessions.	0
Java	Scala	That's true, and it's definitely doable in any language, but it's a lot harder in Java than it is in OCaml, Haskell, Scala, etc.	3
Python	Java	Visibly faster than Python ... faster than Java I'd bet.	0
soda	beer	soda vs. beer helps keep fans in better perspective.	0
oregon	georgia	Ohio State may be a decent bet to make the BCS National Championship based on schedule and hype, but Alabama, Texas A&M (with Johnny Manziel starting every game), oregon, georgia, Texas, South Carolina and Stanford are better teams and would be favored over the Buckeyes on a neutral field.	0
Apple	Sony	Apple, Sony, SAMSUNG, fudge that GOOGLE, ya'll better get this young man a job!!!	0
Chrysler	Toyota	Most all of the heavy trucks interiors such as Freightliner, Volvo, Mack, Peterbilt, and Kenworth use Ohio Foam products which are sold through companies such as Commercial Vehicles Group, Superior Trim, Findlay Industries Other major customers include Honda, GM, Ford, Chrysler and Toyota.	0
Audi	Lexus	We all have our sights set on a Beemer, a Merc, an Audi, even a Lexus, Yes we all have an E-Type in our dream garage, or an XK120, forgetting that they're hateful little shits that will rip you limb from limb faster than a white tiger at a magic show, but before the new XK, did you really think about a new one?	0
IBM	Dell	El REg How is Isilon's scale-out NAS product better than competing products from HP (IBRIX), IBM (SONAS), BlueArc, and Dell (Exanet and DSFS)?	0
PHP	Java	Need to change the PHP program and Java script to make this site faster and the ordering of meal	0
pennsylvania	michigan	Many think it is a lost cause and it would be better to concentrate on Ohio, pennsylvania or michigan.	0
MySQL	PostgreSQL	MySQL: Easy to use, quirky SQL engine, sorta kinda free PostgreSQL: Industrial strength transactionally solid RDBMS.	0
Samsung	Nokia	The build quality of the LG made Nexus 5 is better than Samsung - but not better than Nokia!	0
Direct3D	OpenGL	The 3.2 update also makes it easier to port Direct3D applications and includes version 1.5 of the OpenGL Shading Language (GLSL).	0
Hewlett-Packard	Intel	HP (Hewlett-Packard) Intel Xeon 3.0GHz Processor - Upgrade	0
Windows 7	Windows 8	But is it better than Windows 7? Is it worth upgrading to Windows 8?	0
dartmouth	harvard	CAMBRIDGE, Mass - Behind solid pitching and four home runs, dartmouth swept harvard, 8-2 and 9-2, to claim back-to-back Ivy League North Division Championships on Monday afternoon.	2
Intel	Apple	That is one of the main benefits of going Intel, Apple can maintain its healthy margins better.	0
Perl	PHP	Perl is better for programming than PHP is, but CPAN let me stay away.	2
Nissan	Honda	Test drove Ford, Nissan, Honda too.	0
reagan	kennedy	Looks like an angel, better than Ronald reagan, John kennedy, Abraham Lincoln or George Washington, actually better than any human beings ever lived.	0
soda	tea	soda ,coffee, tea etc.	0
sandwich	steak	When that peanut butter sandwich she made you tastes better than a steak.	2
Perl	Ruby	Stevey describes how totally crazy its founder - Lary Wall - was, turning Perl into a cult, and how and why Ruby and Python are superior.	0
Bluetooth	USB	The Coolest Cooler has built-in blender, Bluetooth speaker, and USB charger.	0
Mercedes-Benz	Audi	It's a decent rival to the Mercedes-Benz CLA45 AMG, though the Mercedes still wins when it comes to power output; let's hope Audi hurries up and brings out a new RS 3.	2
Motorola	Nokia	Motorola moto x, Nokia X, hmmm.....	0
AMD	Samsung	"For approximately the same price as a dual core Mac Mini i7 with AMD graphics and 4 gigs of RAM, 750gb HDD and a cheap Samsung 27"" screen I can buy a quad core, i5 2500k 3.4ghz with 60gb SSD, 1tb HDD, Radeon 6870, a decent quiet PC case (though not SFF it is a quiet tower0, and a dent PSU along with all the trimmings."	0
golf	football	GT has better basketball, golf, and baseball programs, and the football team has been historically better although not recently.	0
PHP	JavaScript	Technically tough, I see this easier to build with PHP and some JavaScript, without any libraries except maybe jQuery.	0
kennedy	reagan	With a divided Europe as their backdrop, John F. kennedy and Ronald reagan had an easier time delivering a historic address.	0
MySQL	Oracle	fyi - MySQL/Oracle	0
cement	wood	cement board is not wood.	0
Apple	IBM	The PowerPC CPU (Apple had a hand in it, but it was mainly Motorola and IBM) was always a much better design than Intel's x86.	3
google	itunes	Will google Music Become Bigger and Better than itunes?	0
BMW	Honda	I am holding out for a much better mpg BMW, an Electric Zenn with ultracapacitor batteries or the Honda CRZ hybrid.	0
google	youtube	google released their own youtube app that is far superior.	0
football	tennis	If REAL football turns your stomach, better watch tennis... Oakland vs. Denver: An AFC West pillowfight.	3
itunes	youtube	Plus the quality is usually better for the mp3's through itunes vs youtube videos.	0
Audi	Mercedes-Benz	The S60 is fun to drive, and a good long-distance tourer, but it's not the same league--for performance or handling--as competitors like the Audi A4 , BMW 3-Series, or the more luxurious and solid Mercedes-Benz C-Class.	0
Objective-C	Swift	I specialize in iOS development with over 4 years of experience in Objective-C and Swift.	0
baseball	hockey	Who are better athletes, baseball players or hockey players?	0
tennis	volleyball	tennis,volleyball & more.	0
stone	timber	The design, by Rositch Hemphill Architects, is classic with a contemporary twist, where stone turrets uite with solid timber beams.	0
sandwich	sausage	"I had a pit beef sandwich served with the ""Bumpin Beans & Rice w/smoked sausage""...it was all delicious and portion size was decent given the reasonable prices."	0
Windows XP	Windows 8	Minimum PC System Requirements PC Processor Type AMD Athlon™ 64 x2 Dual Core 4000+ processor, Intel® Core™ 2 Duo processor PC Processor Speed 2GHz PC Operating System Windows XP, Windows Vista, Windows 7, Windows 8 PC System Memory 2GB RAM PC Hard Drive Space 10GB PC Video 256MB ATI Radeon HD 2400 or better/NVIDIA 7800 or better/Intel® HD Graphics or better video card PC Drive Type and Speed DVD PC Additional Requirements Broadband Internet with minimum 256 Kbps download and 64 Kbps upload, support for Shader 3.0 or better	0
Gigabyte	Asus	(I'm looking at you Gigabyte and Asus)	0
tennis	baseball	Hitting a tennis ball with a racquet is much easier to control than hitting a baseball with a bat.	2
Intel	Apple	(However, Reel Stream supports Macs with Intel processors, and that should help as Apple releases faster desktops.)	0
Google	Kingston	"Please do a Google Search for ""Places of Worship in Kingston, RI"" for complete listings, or contact one of the chaplains for recommendations."	0
IBM	Intel	[ 2 ] [ 32 ] [ 36 ] IBM chose the 8088 over the superior 8086 because Intel offered a better price on the former and could provide more units.	0
Nissan	Ford	what pickup truck is the best of alltimes chevy,Nissan,Ford out of all the trucks wat to u is more better?	0
harvard	stanford	If you can get into Beijing University, it's harder than getting into harvard or stanford or Yale.	0
Objective-C	Swift	Objective-C and Swift.	0
Perl	JavaScript	Update the ecma standard to include a set of features that is meant to be used when compiling a better language (C#, C++, Java, Perl, Python, LISP, Haskell, x86 asm, MUMPS, pig-latin, etc) down to JavaScript so it will run in any browser at native code speed.	0
Ford	Nissan	Models like this top Utah 4x4 DoubleCab offer a decent alternative to buyers in this sector already set on blowing over £20,000 on a top Ford Ranger, Mitsubishi L200, Toyota Hilux or Nissan Navara.	0
plywood	steel	Material: Padded solid hardwood & plywood frame, steel base, wood slats.	0
amazon	facebook	This means that earnings at LinkedIn and amazon are likely to grow vastly faster than earnings at facebook over the next few years.	2
MySQL	SQLite	PHP5, released this summer, finally offers decent object-oriented programming support, better integration with the MySQL database with which it is most often used, its own embedded database (SQLite), full support for Soap and a suite of XML tools.	0
MySQL	Oracle	Re: MySQL + Oracle	0
metal	concrete	Cutting metal and concrete has never been easier.	0
Windows 8	Windows XP	System Requirements: Supported Processors - 300MHz or faster Disk Space - 30MB or larger Internet - High-speed Internet connection recommended Supported Platforms - Windows 8 (32 & 64-bit) - Windows 7 (32 & 64-bit) - Windows Vista (32 & 64-bit) - Windows XP (32-bit), Professional, Home, Media Center or XP	0
tennis	football	For some reason I see someone like a tennis player taking weightroom instruction better than a football or basketball player.	2
USB	Bluetooth	Transferring files to android phone via WiFi connection is faster than USB cable or Bluetooth.	0
Chevrolet	Toyota	And until Chevrolet can make a better vehicle than Kia or Toyota, I will be driving an inferior vehcile because I buy American when I can.I for one abhor the idea of a global economy and a global government but with the forces pushing us in that direction, I am still looking for ways to fend it off.	3
Java	Haskell	I've done a lot of C programming, a decent amount of Java, a lot of Matlab, some D and a lot of Haskell, but never really had a chance to program in C++ oddly enough.	0
Python	Lisp	Also, learning a high-level language with lots of abstraction capabilities (like Ruby, Python, Lisp or D) might help you program better in lower-level languages where some of the techniques might still be usable, but less obvious.	0
hockey	baseball	He's probably better at hockey than we are at baseball.	2
IBM	Dell	Granted, Pentium 4M was a horrible CPU platform to start with but somehow IBM pulled off a decent design based on same processor with the T30 and Dell didn't.	2
stone	metal	stone, metal, solid wood, veneer.-Tabletop	0
MySQL	PostgreSQL	30% better in MySQL 5.0.20a and 37% better in PostgreSQL 8.2-dev.	3
Groovy	Java	It means that you can now do rapid web development (say Groovy/Grails, or JRuby/Rails) some really safe concurrency work (say Scala/Akka or Clojure) and still talk to your base of solid, well-tested Java.	0
Bluetooth	Ethernet	Overall, the Dell Inspiron M101z is a dependable little 11.6in laptop that's comfortable to use for the most part and it has decent features - including 802.11n Wi-Fi, Bluetooth, HDMI, VGA, three USB 2.0 ports, a webcam, and 10/100 Ethernet.	0
Java	Lisp	In short, I don't think ABCL is a particularly useful tool to help you learn Java; it's probably a better tool to help you learn Lisp.	0
Chrysler	Ford	Greiner Chrysler Dodge RAM Jeep Ford	0
minivan	suv	minivan Pickup suv	0
Python	JavaScript	And that's why I don't want to do it on my own, it's better if Twicker makes a Python applet for a JavaScript chat.	0
Objective-C	Java	And probably also makes translating the resulting code into Objective-C, Java and so on considerably easier.	0
Toyota	Honda	New Toyota and Honda Vehicles	0
Sony	Apple	Sony May Kiss Low-End Smartphones Goodbye To Better Compete With Samsung And Apple	0
Windows 8	Windows 7	Performance: Performance wise Windows 8 seems to be faster and more efficient than Windows 7. ( via )	2
juice	tea	Drink a lot of water, freshly squeezed juice and tea to help garcinia work even better.	0
baseball	softball	Red Lion baseball/softball - Socks - Solid	0
